None,table,permaticker,ticker,name,exchange,isdelisted,category,cusips,siccode,sicsector,sicindustry,famasector,famaindustry,sector,industry,scalemarketcap,scalerevenue,relatedtickers,currency,location,lastupdated,firstadded,firstpricedate,lastpricedate,firstquarter,lastquarter,secfilings,companysite
0,SF1,199739,XOM,Exxon Mobil Corp,NYSE,N,Domestic,30231G102,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,Energy,Oil & Gas Integrated,6 - Mega,6 - Mega,XON,USD,Texas U.S.A,2019-05-02,2014-11-11,1986-01-01,2019-08-06,1996-12-31,2019-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000034088,http://corporate.exxonmobil.com
1,SEP,199739,XOM,Exxon Mobil Corp,NYSE,N,Domestic,30231G102,2911,Manufacturing,Petroleum Refining,,Petroleum and Natural Gas,Energy,Oil & Gas Integrated,6 - Mega,6 - Mega,XON,USD,Texas U.S.A,2019-08-06,2014-11-11,1986-01-01,2019-08-06,1996-12-31,2019-03-31,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000034088,http://corporate.exxonmobil.com
